127.0.0.1 - - [17/Mar/2024:14:32:39 -0700] "GET / HTTP/1.1" 200 615 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
127.0.0.1 - - [17/Mar/2024:14:32:40 -0700] "GET /favicon.ico HTTP/1.1" 404 555 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
127.0.0.1 - - [17/Mar/2024:14:59:15 -0700] "POST / HTTP/1.1" 405 157 "-" "python-requests/2.28.1"
127.0.0.1 - - [17/Mar/2024:14:59:15 -0700] "POST / HTTP/1.1" 405 157 "-" "python-requests/2.28.1"
127.0.0.1 - - [17/Mar/2024:14:59:15 -0700] "POST / HTTP/1.1" 405 157 "-" "python-requests/2.28.1"
127.0.0.1 - - [17/Mar/2024:14:59:15 -0700] "POST / HTTP/1.1" 405 157 "-" "python-requests/2.28.1"
127.0.0.1 - - [17/Mar/2024:14:59:15 -0700] "POST / HTTP/1.1" 405 157 "-" "python-requests/2.28.1"
127.0.0.1 - - [17/Mar/2024:14:59:15 -0700] "POST / HTTP/1.1" 405 157 "-" "python-requests/2.28.1"
127.0.0.1 - - [17/Mar/2024:14:59:15 -0700] "POST / HTTP/1.1" 405 157 "-" "python-requests/2.28.1"
127.0.0.1 - - [17/Mar/2024:14:59:15 -0700] "POST / HTTP/1.1" 405 157 "-" "python-requests/2.28.1"
127.0.0.1 - - [17/Mar/2024:14:59:15 -0700] "POST / HTTP/1.1" 405 157 "-" "python-requests/2.28.1"
127.0.0.1 - - [17/Mar/2024:14:59:15 -0700] "POST / HTTP/1.1" 405 157 "-" "python-requests/2.28.1"
127.0.0.1 - - [17/Mar/2024:14:59:15 -0700] "POST / HTTP/1.1" 405 157 "-" "python-requests/2.28.1"
127.0.0.1 - - [17/Mar/2024:14:59:15 -0700] "POST / HTTP/1.1" 405 157 "-" "python-requests/2.28.1"
127.0.0.1 - - [17/Mar/2024:14:59:15 -0700] "POST / HTTP/1.1" 405 157 "-" "python-requests/2.28.1"
127.0.0.1 - - [17/Mar/2024:14:59:15 -0700] "POST / HTTP/1.1" 405 157 "-" "python-requests/2.28.1"
127.0.0.1 - - [17/Mar/2024:14:59:15 -0700] "POST / HTTP/1.1" 405 157 "-" "python-requests/2.28.1"
127.0.0.1 - - [17/Mar/2024:14:59:15 -0700] "POST / HTTP/1.1" 405 157 "-" "python-requests/2.28.1"
127.0.0.1 - - [17/Mar/2024:14:59:15 -0700] "POST / HTTP/1.1" 405 157 "-" "python-requests/2.28.1"
127.0.0.1 - - [17/Mar/2024:14:59:15 -0700] "POST / HTTP/1.1" 405 157 "-" "python-requests/2.28.1"
127.0.0.1 - - [17/Mar/2024:14:59:15 -0700] "POST / HTTP/1.1" 405 157 "-" "python-requests/2.28.1"
127.0.0.1 - - [17/Mar/2024:14:59:15 -0700] "POST / HTTP/1.1" 405 157 "-" "python-requests/2.28.1"
127.0.0.1 - - [17/Mar/2024:14:59:44 -0700] "POST / HTTP/1.1" 405 157 "-" "python-requests/2.28.1"
127.0.0.1 - - [17/Mar/2024:14:59:44 -0700] "POST / HTTP/1.1" 405 157 "-" "python-requests/2.28.1"
127.0.0.1 - - [17/Mar/2024:14:59:44 -0700] "POST / HTTP/1.1" 405 157 "-" "python-requests/2.28.1"
127.0.0.1 - - [17/Mar/2024:14:59:44 -0700] "POST / HTTP/1.1" 405 157 "-" "python-requests/2.28.1"
127.0.0.1 - - [17/Mar/2024:14:59:44 -0700] "POST / HTTP/1.1" 405 157 "-" "python-requests/2.28.1"
127.0.0.1 - - [17/Mar/2024:14:59:44 -0700] "POST / HTTP/1.1" 405 157 "-" "python-requests/2.28.1"
127.0.0.1 - - [17/Mar/2024:14:59:44 -0700] "POST / HTTP/1.1" 405 157 "-" "python-requests/2.28.1"
127.0.0.1 - - [17/Mar/2024:14:59:44 -0700] "POST / HTTP/1.1" 405 157 "-" "python-requests/2.28.1"
127.0.0.1 - - [17/Mar/2024:14:59:44 -0700] "POST / HTTP/1.1" 405 157 "-" "python-requests/2.28.1"
127.0.0.1 - - [17/Mar/2024:14:59:44 -0700] "POST / HTTP/1.1" 405 157 "-" "python-requests/2.28.1"
127.0.0.1 - - [17/Mar/2024:14:59:44 -0700] "POST / HTTP/1.1" 405 157 "-" "python-requests/2.28.1"
127.0.0.1 - - [17/Mar/2024:14:59:44 -0700] "POST / HTTP/1.1" 405 157 "-" "python-requests/2.28.1"
127.0.0.1 - - [17/Mar/2024:14:59:44 -0700] "POST / HTTP/1.1" 405 157 "-" "python-requests/2.28.1"
127.0.0.1 - - [17/Mar/2024:14:59:44 -0700] "POST / HTTP/1.1" 405 157 "-" "python-requests/2.28.1"
127.0.0.1 - - [17/Mar/2024:14:59:44 -0700] "POST / HTTP/1.1" 405 157 "-" "python-requests/2.28.1"
127.0.0.1 - - [17/Mar/2024:14:59:44 -0700] "POST / HTTP/1.1" 405 157 "-" "python-requests/2.28.1"
127.0.0.1 - - [17/Mar/2024:14:59:44 -0700] "POST / HTTP/1.1" 405 157 "-" "python-requests/2.28.1"
127.0.0.1 - - [17/Mar/2024:14:59:44 -0700] "POST / HTTP/1.1" 405 157 "-" "python-requests/2.28.1"
